condition,scene_id,method,pixels,proxy_positive_pixels,exact_zero_proxy_pixels,proxy_positive_called_pass,proxy_positive_flagged,proxy_positive_unknown,exact_zero_proxy_called_pass,exact_zero_proxy_flagged,unknown_pixels,pass_pixels,flag_pixels,scope_positive_pass_fraction,zero_proxy_pass_fraction,unknown_fraction,bounded_inference_seconds,evidence_type,assumed_physical_contamination_in_stress
uniform_absorber,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
uniform_absorber,1,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0009091209999496641,SYNTHETIC,True
uniform_absorber,2,uniform_DC,1024,0,1024,0,0,0,1011,13,0,1011,13,,0.9873046875,0.0,,SYNTHETIC,True
uniform_absorber,2,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,True
uniform_absorber,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
uniform_absorber,2,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0008990459999722589,SYNTHETIC,True
uniform_absorber,3,uniform_DC,1024,0,1024,0,0,0,1012,12,0,1012,12,,0.98828125,0.0,,SYNTHETIC,True
uniform_absorber,3,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,True
uniform_absorber,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
uniform_absorber,3,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0009177740000723134,SYNTHETIC,True
optically_invisible_residue,0,uniform_DC,1024,0,1024,0,0,0,1015,9,0,1015,9,,0.9912109375,0.0,,SYNTHETIC,True
optically_invisible_residue,0,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
optically_invisible_residue,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
optically_invisible_residue,0,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.000883883000028618,SYNTHETIC,True
optically_invisible_residue,1,uniform_DC,1024,0,1024,0,0,0,1014,10,0,1014,10,,0.990234375,0.0,,SYNTHETIC,True
